NOME,AUSENCIA,MATEMATICA,PORTUGUES,BIOLOGIA,RESULTADO
Bento Suyov d'Ávila de França,26,7.0,6.8,8.4,REPROVADO
Valeska Irelope,26,6.7,7.0,7.3,REPROVADO
Sara Gomes Klein Duque,25,7.5,8.1,8.3,REPROVADO
Décio Rosatto Guedes,25,7.3,6.9,8.0,REPROVADO
Elisete Anbiman,25,6.9,7.1,6.0,REPROVADO
Manuel de Moreira da Silva Terceiro,24,7.6,8.1,8.4,REPROVADO
José Lúcio de Barbosa Secokial Onaov,24,7.2,6.8,8.2,REPROVADO
Jânio Táles Omfralão,24,6.6,6.1,6.0,REPROVADO
Jonathas Caio Wani,23,7.9,8.0,8.9,REPROVADO
Ivan Penedo de Oliveira Tama,23,7.5,7.4,7.9,REPROVADO
Saulo Uickafuer,23,6.4,6.2,6.1,REPROVADO
Dina Valquíria da Paixão,22,7.5,7.2,6.5,REPROVADO
Leonardo Oyer,22,7.4,7.4,9.1,REPROVADO
Fabiano Jair Espada Filazgon,22,6.6,6.2,7.0,REPROVADO
Damião Cuel,21,7.5,7.3,8.4,REPROVADO
Tatiane de Ferreira,21,7.1,7.1,6.1,REPROVADO
Fabíola Karin Zuafuyu Eprebulman Toigom,21,7.0,6.9,7.8,REPROVADO
Jenny Olívia de Alves Ecrono Valente,20,7.1,8.4,8.4,REPROVADO
Walderice Sara Jangada,20,6.6,7.3,6.4,REPROVADO
Dionísio da Silva Pattimbifi,20,6.6,6.4,6.5,REPROVADO
Jardel de Duarte,19,7.4,7.3,9.0,APROVADO
Eustáquio de Guimarães,18,7.8,7.4,8.4,APROVADO
Joelma de Sampaio,18,7.5,7.8,7.3,APROVADO
Otávio dos Santos Júnior,15,7.5,6.9,8.2,APROVADO
Eva Cláudia da Silva,12,7.4,7.6,8.2,APROVADO
Emanoel Luís de Arruda Neto,19,7.4,7.6,7.7,APROVADO
Sônia do Prado Weber,17,7.4,7.4,6.5,APROVADO
Eloá dos Santos Hedebuga,18,7.4,7.2,8.4,APROVADO
Juliano de Paranhos,12,7.4,6.7,7.6,APROVADO
Melissa Caroline Wireson de Pereira,14,7.3,7.2,8.2,APROVADO
Sandro de Teixeira,10,7.3,7.1,6.6,APROVADO
Aldo Augusto de Leite Mineiro Neto,18,7.3,7.0,6.2,APROVADO
Jacinto Dogoru,19,7.2,7.7,6.7,APROVADO
Yolanda da Silva de Souza,8,7.2,7.4,8.7,APROVADO
Mirela Beatriz da Silva de Garcia,8,7.2,7.0,8.0,APROVADO
Marta de Albuquerque,8,7.2,6.9,7.7,APROVADO
Rosa de Pereira,8,7.2,6.9,6.5,APROVADO
Ivete Paulínia de Moura Injina,8,7.2,6.1,6.6,APROVADO
Jardel dos Santos da Silva,8,7.1,7.6,6.1,APROVADO
Valquíria Eva de Barros Ticosson,8,7.1,6.9,7.6,APROVADO
Gisele Cirnglel,8,7.1,6.8,6.4,APROVADO
